date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:35	776/776	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Jul%202023%2000:54:34%20GMT	http://tama:1234@localhost:8091/robots.txt		(from )
09:54:35	14549/14549	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:34%20GMT	http://tama:1234@localhost:8091/gobong/	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/index.html	(from )
09:54:35	19877/19877	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202023%2008:52:32%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/logo.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/logo.jpg	(from http://tama:1234@localhost:8091/gobong/)
09:54:35	207302/207302	---M-Z	200	added ('OK')	text/css	etag:W/%22329c6-nL+P0n9QpqJ97JxmCBpSBWnGeaQ%22	https://cdn.jsdelivr.net/npm/bulma@0.9.4/css/bulma.min.css	C:/My%20Web%20Sites/gobong/cdn.jsdelivr.net/npm/bulma@0.9.4/css/bulma.min.css	(from http://tama:1234@localhost:8091/gobong/)
09:54:35	1041/1041	---M--	200	added ('OK')	text/css	date:Sat,%2029%20Jul%202023%2008:39:26%20GMT	http://tama:1234@localhost:8091/gobong/resources/css/main.css	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/css/main.css	(from http://tama:1234@localhost:8091/gobong/)
09:54:36	611/611	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2015:14:52%20GMT	http://tama:1234@localhost:8091/gobong/resources/css/footer.css	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/css/footer.css	(from http://tama:1234@localhost:8091/gobong/)
09:54:36	66069/66069	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:36%20GMT	http://tama:1234@localhost:8091/gobong/board/boardlist	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boardlist.html	(from http://tama:1234@localhost:8091/gobong/)
09:54:37	87462/87462	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155a6%22	https://code.jquery.com/jquery-3.7.0.min.js	C:/My%20Web%20Sites/gobong/code.jquery.com/jquery-3.7.0.min.js	(from http://tama:1234@localhost:8091/gobong/)
09:54:37	5068/5068	---M--	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:36%20GMT	http://tama:1234@localhost:8091/gobong/user/join	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/user/join.html	(from http://tama:1234@localhost:8091/gobong/)
09:54:37	58023/58023	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jul%202023%2002:26:34%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/Perd.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/Perd.png	(from http://tama:1234@localhost:8091/gobong/)
09:54:37	62857/62857	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2008:42:18%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/Lerd.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/Lerd.png	(from http://tama:1234@localhost:8091/gobong/)
09:54:38	85692/85692	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jul%202023%2013:48:02%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/Table.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/Table.png	(from http://tama:1234@localhost:8091/gobong/)
09:54:38	34478/34478	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Jul%202023%2014:09:44%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/pro.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/pro.png	(from http://tama:1234@localhost:8091/gobong/)
09:54:38	1097/1097	---M--	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:38%20GMT	http://tama:1234@localhost:8091/gobong/test/home	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/test/home.html	(from http://tama:1234@localhost:8091/gobong/)
09:54:38	20844/20844	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:38%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=22	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetail39ab.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:39	15817/15817	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:39%20GMT	http://tama:1234@localhost:8091/gobong/user/profile?id=mori	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/user/profilea87a.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:40	1771/1771	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jul%202023%2008:52:32%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/reply.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/reply.png	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:40	1020/1020	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jul%202023%2008:52:32%20GMT	http://tama:1234@localhost:8091/gobong/resources/img/heart.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/img/heart.png	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:40	18700/18700	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:40%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=21	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetail5567.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:41	15723/15723	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:40%20GMT	http://tama:1234@localhost:8091/gobong/user/profile?id=tama	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/user/profile0bcd.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:42	552150/552150	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202023%2000:59:02%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/mori02.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/mori02.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:44	18707/18707	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:43%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=20	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetaila250.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:46	510763/510763	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jul%202023%2000:59:02%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/mori.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/mori.png	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:47	17930/17930	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:46%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=19	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetailc040.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:48	514676/514676	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202023%2000:53:20%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/tama00.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/tama00.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:48	15455/15455	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:48%20GMT	http://tama:1234@localhost:8091/gobong/user/profile?id=dubu	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/user/profile1aec.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:52	269092/269092	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202023%2000:59:02%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/dubu01.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/dubu01.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:54:53	17353/17353	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:54:52%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=18	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetaila74b.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:02	1151836/1151836	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202023%2000:53:20%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/tama03.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/tama03.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:03	17683/17683	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:55:02%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=17	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetailb229.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:03	632211/632211	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202023%2000:53:32%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/mori04.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/mori04.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:04	1038103/1038103	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jul%202023%2000:59:00%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/dubu.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/dubu.png	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:04	17665/17665	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:55:03%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=16	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetail46cb.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:06	17801/17801	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:55:04%20GMT	http://tama:1234@localhost:8091/gobong/user/profile?id=whatsup	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/user/profilec12d.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:09	306077/306077	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Jul%202023%2008:35:12%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//whatsup/42.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/whatsup/42.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:09	177570/177570	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2006:41:02%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//whatsup/whatsup.png	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/whatsup/whatsup.png	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:09	17918/17918	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:55:09%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=15	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetail4ed1.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:10	516828/516828	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jul%202023%2000:53:26%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//dutamo/mori00.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/dutamo/mori00.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:10	17908/17908	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:55:09%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=14	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetail4aab.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:12	17715/17715	---MC-	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2000:55:10%20GMT	http://tama:1234@localhost:8091/gobong/board/boarddetail?no=13	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/board/boarddetail3a80.html	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:14	267371/267371	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Jul%202023%2008:35:12%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//whatsup/36.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/whatsup/36.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
09:55:16	436093/436093	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Jul%202023%2008:35:12%20GMT	http://tama:1234@localhost:8091/gobong/resources/upload//whatsup/39.jpg	C:/My%20Web%20Sites/gobong/localhost_8091/gobong/resources/upload/whatsup/39.jpg	(from http://tama:1234@localhost:8091/gobong/board/boardlist)
